date,trade,sell,buy
20170112,28,8,20
20170113,28,8,20
20170116,26,6,20
20170117,29,5,24
20170118,25,6,19
20170119,27,9,18
20170120,27,10,17
20170123,27,7,20
20170124,27,9,18
20170125,25,9,16
20170126,27,5,22
20170131,25,4,21
20170201,27,5,22
20170202,26,6,20
20170203,25,7,18
20170206,26,7,19
20170207,24,8,16
20170208,25,6,19
20170209,25,6,19
20170210,26,8,18
20170213,26,9,17
20170214,25,9,16
20170215,26,9,17
20170216,25,11,14
20170217,27,7,20
20170220,26,8,18
20170221,25,7,18
20170222,26,9,17
20170223,25,8,17
20170224,26,8,18
20170227,25,7,18
20170228,27,9,18
20170302,25,8,17
20170303,25,9,16
20170306,25,8,17
20170307,25,10,15
20170308,24,9,15
20170309,24,8,16
20170310,24,7,17
20170313,23,6,17
20170314,24,10,14
20170315,24,10,14
20170316,26,9,17
20170317,23,7,16
20170320,24,7,17
20170321,22,6,16
20170322,23,7,16
20170323,24,9,15
20170324,24,9,15
20170327,22,7,15
20170328,22,8,14
20170329,23,8,15
20170330,24,7,17
20170331,23,7,16
20170403,24,7,17
20170404,24,7,17
20170405,25,9,16
20170406,25,9,16
20170407,25,11,14
20170410,25,11,14
20170411,25,12,13
20170412,23,9,14
