date,trade,sell,buy
20160105,12,0,12
20160106,13,4,9
20160107,15,5,10
20160108,18,8,10
20160111,20,12,8
20160112,16,6,10
20160113,18,8,10
20160114,20,10,10
20160115,20,5,15
20160119,21,13,8
20160120,23,6,17
20160121,25,14,11
20160122,25,15,10
20160125,23,10,13
20160126,22,11,11
20160127,20,12,8
20160128,20,8,12
20160129,18,11,7
20160201,24,10,14
20160202,19,12,7
20160203,21,9,12
20160204,23,11,12
20160205,22,11,11
20160208,21,12,9
20160209,25,13,12
20160210,20,9,11
20160211,22,13,9
20160212,21,13,8
20160216,23,12,11
20160217,23,9,14
20160218,24,10,14
20160219,23,10,13
20160222,19,15,4
20160223,22,15,7
20160224,23,13,10
20160225,18,9,9
20160226,18,8,10
20160229,22,6,16
20160301,22,14,8
20160302,23,8,15
20160303,24,14,10
20160304,21,13,8
20160307,22,13,9
20160308,25,12,13
20160309,21,10,11
20160310,21,14,7
20160311,21,12,9
20160314,24,14,10
20160315,19,9,10
20160316,21,12,9
20160317,24,12,12
20160318,22,11,11
20160321,20,14,6
20160322,22,13,9
20160323,16,13,3
20160324,18,12,6
20160328,18,7,11
20160329,19,8,11
20160330,24,10,14
20160331,21,10,11
20160401,21,11,10
20160404,22,12,10
20160405,21,12,9
