date,trade,sell,buy
20171025,23,8,15
20171026,22,7,15
20171027,23,7,16
20171030,23,7,16
20171031,22,6,16
20171101,23,8,15
20171102,21,7,14
20171103,22,8,14
20171106,21,8,13
20171107,21,7,14
20171108,22,7,15
20171109,20,5,15
20171110,20,5,15
20171113,20,5,15
20171114,20,5,15
20171115,21,7,14
20171116,20,6,14
20171117,19,4,15
20171120,19,5,14
20171121,20,5,15
20171122,20,6,14
20171123,20,6,14
20171124,18,5,13
20171127,19,6,13
20171128,20,6,14
20171129,21,5,16
20171130,22,5,17
20171201,20,5,15
20171204,21,6,15
20171205,20,5,15
20171206,20,5,15
20171207,20,4,16
20171208,21,4,17
20171211,22,6,16
20171212,22,6,16
20171213,22,7,15
20171214,22,6,16
20171215,20,3,17
20171218,21,4,17
20171219,21,5,16
20171220,21,4,17
20171221,20,2,18
20171222,20,3,17
20171226,21,3,18
20171227,20,3,17
20171228,20,4,16
20180102,19,3,16
20180103,19,3,16
20180104,21,3,18
20180105,20,5,15
20180108,21,8,13
20180109,19,19,0
20180110,18,0,18
20180111,18,0,18
20180112,17,0,17
20180115,18,18,0
20180116,0,0,0
20180117,17,0,17
20180118,16,2,14
20180119,16,1,15
20180122,17,1,16
20180123,17,1,16
