date,trade,sell,buy
20160408,23,4,19
20160411,21,5,16
20160412,20,4,16
20160414,20,5,15
20160415,21,7,14
20160418,22,6,16
20160419,19,5,14
20160420,23,9,14
20160421,22,7,15
20160422,23,5,18
20160425,20,4,16
20160426,23,5,18
20160427,23,5,18
20160428,25,2,23
20160429,23,9,14
20160502,20,5,15
20160503,24,5,19
20160504,21,5,16
20160509,23,4,19
20160510,22,7,15
20160511,23,6,17
20160512,23,8,15
20160513,19,8,11
20160516,23,6,17
20160517,22,3,19
20160518,21,6,15
20160519,20,5,15
20160520,24,6,18
20160523,24,6,18
20160524,22,3,19
20160525,19,3,16
20160526,21,2,19
20160527,21,5,16
20160530,19,4,15
20160531,22,2,20
20160601,18,2,16
20160602,20,2,18
20160603,19,1,18
20160607,19,2,17
20160608,24,3,21
20160609,23,1,22
20160610,23,3,20
20160613,19,1,18
20160614,18,2,16
20160615,19,2,17
20160616,18,1,17
20160617,19,4,15
20160620,17,1,16
20160621,18,2,16
20160622,20,3,17
20160623,17,2,15
20160624,19,2,17
20160627,16,1,15
20160628,16,2,14
20160629,19,1,18
20160630,16,4,12
20160701,18,2,16
20160704,21,3,18
20160705,19,1,18
20160706,18,2,16
20160707,19,2,17
20160708,18,1,17
