date,trade,sell,buy
20160406,21,11,10
20160407,20,10,10
20160408,20,10,10
20160411,19,5,14
20160412,22,4,18
20160413,22,10,12
20160414,23,5,18
20160415,23,11,12
20160418,22,6,16
20160419,22,7,15
20160420,19,8,11
20160421,22,7,15
20160422,21,12,9
20160425,24,15,9
20160426,23,10,13
20160427,22,11,11
20160428,24,8,16
20160429,25,11,14
20160502,23,11,12
20160503,23,12,11
20160504,24,9,15
20160505,21,9,12
20160506,25,15,10
20160509,24,10,14
20160510,21,9,12
20160511,23,12,11
20160512,22,12,10
20160513,22,6,16
20160516,21,9,12
20160517,23,9,14
20160518,19,9,10
20160519,23,8,15
20160520,24,9,15
20160523,24,10,14
20160524,24,9,15
20160525,19,5,14
20160526,20,5,15
20160527,23,10,13
20160531,21,8,13
20160601,21,11,10
20160602,22,13,9
20160603,23,15,8
20160606,20,11,9
20160607,23,7,16
20160608,20,11,9
20160609,22,10,12
20160610,23,5,18
20160613,20,9,11
20160614,22,9,13
20160615,23,8,15
20160616,23,8,15
20160617,24,11,13
20160620,23,13,10
20160621,21,8,13
20160622,20,8,12
20160623,21,9,12
20160624,17,9,8
20160627,20,8,12
20160628,21,9,12
20160629,25,8,17
20160630,20,11,9
20160701,21,6,15
20160705,21,9,12
