date,trade,sell,buy
20160105,10,0,10
20160106,13,3,10
20160107,17,6,11
20160108,17,2,15
20160111,19,7,12
20160112,19,5,14
20160113,18,6,12
20160114,17,6,11
20160115,18,6,12
20160119,19,3,16
20160120,17,7,10
20160121,18,7,11
20160122,18,3,15
20160125,19,6,13
20160126,20,9,11
20160127,22,6,16
20160128,23,8,15
20160129,17,5,12
20160201,20,8,12
20160202,19,7,12
20160203,22,8,14
20160204,22,7,15
20160205,16,5,11
20160208,22,11,11
20160209,20,4,16
20160210,20,5,15
20160211,22,10,12
20160212,25,15,10
20160216,24,9,15
20160217,24,6,18
20160218,22,7,15
20160219,20,5,15
20160222,20,9,11
20160223,19,7,12
20160224,21,9,12
20160225,22,6,16
20160226,20,9,11
20160229,18,6,12
20160301,18,6,12
20160302,18,8,10
20160303,18,6,12
20160304,17,8,9
20160307,24,7,17
20160308,24,7,17
20160309,23,9,14
20160310,20,10,10
20160311,21,8,13
20160314,19,3,16
20160315,19,6,13
20160316,24,11,13
20160317,20,7,13
20160318,19,6,13
20160321,18,7,11
20160322,18,4,14
20160323,21,10,11
20160324,21,10,11
20160328,19,4,15
20160329,20,9,11
20160330,16,6,10
20160331,16,5,11
20160401,20,2,18
20160404,19,7,12
20160405,20,8,12
