Date,Close
2009-01-05,3689.893935139974
2009-01-06,3732.6853088378907
2009-01-07,3800.996466064453
2009-01-08,3616.8144592285157
2009-01-09,3588.868731689453
2009-01-13,3479.4091837565106
2009-01-14,3470.529335530599
2009-01-15,3329.493937174479
2009-01-16,3396.8255716959634
2009-01-19,3407.960557047526
2009-01-20,3332.356884765625
2009-01-21,3216.7836568196612
2009-01-22,3296.5913248697916
2009-01-23,3156.621854654948
2009-01-26,3101.1208923339846
2009-01-27,3264.5739217122396
2009-01-28,3316.8742879231772
2009-01-29,3397.1007853190104
2009-01-30,3189.9661580403645
2009-02-02,3086.3734598795572
2009-02-03,3118.091731770833
2009-02-04,3198.906884765625
2009-02-05,3158.251328531901
2009-02-06,3202.89228515625
2009-02-09,3166.775067138672
2009-02-10,3194.812070719401
2009-02-12,3115.2516967773436
2009-02-13,3152.9135009765623
2009-02-16,3150.7409545898436
2009-02-17,3112.278424072266
2009-02-18,3053.5647399902346
2009-02-19,3037.724332682292
2009-02-20,2954.4718973795575
2009-02-23,2946.370245361328
2009-02-24,2959.882781982422
2009-02-25,3057.392932128906
2009-02-26,3059.892744954427
2009-02-27,3118.3001383463543
2009-03-02,3013.8373758951825
2009-03-03,2972.7406351725263
2009-03-04,3001.9854939778647
2009-03-05,3024.0761250813803
2009-03-06,2908.923876953125
2009-03-09,2876.220109049479
2009-03-10,2866.459642537435
2009-03-11,3033.437607828776
2009-03-12,2953.0691935221353
2009-03-13,3090.1927469889324
2009-03-16,3164.761112467448
2009-03-17,3267.3585815429688
2009-03-18,3227.264646402995
2009-03-19,3200.8909006754557
2009-03-23,3313.1737365722656
2009-03-24,3429.6257670084638
2009-03-25,3404.203025309245
2009-03-26,3466.9757670084637
2009-03-27,3435.1065673828125
2009-03-30,3268.7252502441406
2009-03-31,3249.540401204427
2009-04-01,3321.8863606770833
2009-04-02,3463.651017252604
2009-04-03,3472.560095214844
2009-04-06,3479.302528889974
2009-04-07,3464.968680826823
2009-04-08,3364.557576497396
2009-04-09,3437.5676737467447
2009-04-10,3401.0671732584638
2009-04-13,3318.514646402995
2009-04-14,3300.661619059245
2009-04-15,3294.121716308594
2009-04-16,3307.2202006022135
2009-04-17,3297.777272542318
2009-04-20,3273.666162109375
2009-04-21,3226.2141357421874
2009-04-22,3251.2267720540362
2009-04-23,3293.5217122395834
2009-04-24,3227.4196919759115
2009-04-27,3244.845448811849
2009-04-28,3180.442423502604
2009-04-30,3298.8909118652346
2009-05-01,3390.805554199219
2009-05-07,3518.2090983072917
2009-05-08,3515.120709228516
2009-05-11,3505.016666666667
2009-05-12,3474.9121276855467
2009-05-13,3485.561112467448
2009-05-14,3394.4207092285155
2009-05-15,3444.8257670084636
2009-05-18,3341.9974711100263
2009-05-19,3423.755055745443
2009-05-20,3441.7272786458334
2009-05-21,3427.8373758951825
2009-05-22,3396.60302734375
2009-05-25,3420.2136413574217
2009-05-26,3401.5838317871094
2009-05-27,3435.0217224121093
2009-05-28,3449.9050537109374
2009-05-29,3451.986360677083
2009-06-01,3519.44848429362
2009-06-02,3533.9196940104166
2009-06-03,3524.9974731445313
2009-06-04,3499.952012125651
2009-06-05,3554.3848490397136
2009-06-08,3597.8035420735678
2009-06-09,3586.830802408854
2009-06-10,3653.594441731771
2009-06-11,3635.5732360839843
2009-06-12,3640.172222900391
2009-06-15,3578.2222208658854
2009-06-16,3512.293428548177
2009-06-17,3545.3641377766926
2009-06-18,3495.996455891927
2009-06-19,3527.460095214844
2009-06-22,3518.8252502441405
2009-06-23,3435.8797912597656
2009-06-24,3454.2939453125
2009-06-25,3517.253544108073
2009-06-26,3525.9939432779947
2009-06-29,3515.624235026042
2009-06-30,3562.881319173177
2009-07-01,3557.8429300944013
2009-07-02,3541.9333333333334
2009-07-03,3525.031321207682
2009-07-06,3483.611610921224
2009-07-07,3476.6878743489583
2009-07-08,3428.8429300944013
2009-07-09,3365.1848490397138
2009-07-10,3347.542431640625
2009-07-13,3298.4166646321614
2009-07-14,3359.137373860677
2009-07-15,3346.2171732584634
2009-07-16,3373.3691935221354
2009-07-17,3376.444952392578
2009-07-21,3430.639394124349
2009-07-22,3460.687373860677
2009-07-23,3490.383837890625
2009-07-24,3543.570208740234
2009-07-27,3588.9939432779947
2009-07-28,3578.219694010417
2009-07-29,3572.4606119791665
2009-07-30,3622.807568359375
2009-07-31,3631.9742329915366
2009-08-03,3633.563126627604
2009-08-04,3628.124235026042
2009-08-05,3575.439394124349
2009-08-06,3619.9898966471355
2009-08-07,3624.1202006022136
2009-08-10,3652.5444458007814
2009-08-11,3657.0540425618487
2009-08-12,3616.915155029297
2009-08-13,3634.647979736328
2009-08-14,3645.1252502441407
2009-08-17,3533.349493408203
2009-08-18,3521.381315104167
2009-08-19,3504.9343424479166
2009-08-20,3546.6616170247394
2009-08-21,3492.3388895670573
