date,trade,sell,buy
20161014,25,11,14
20161017,27,13,14
20161018,29,14,15
20161019,28,8,20
20161020,26,10,16
20161021,25,11,14
20161024,25,11,14
20161025,25,6,19
20161026,25,5,20
20161027,24,7,17
20161028,24,10,14
20161031,26,10,16
20161101,24,7,17
20161102,23,7,16
20161103,26,11,15
20161104,26,7,19
20161107,24,7,17
20161108,26,13,13
20161109,25,6,19
20161110,25,4,21
20161111,26,11,15
20161114,23,6,17
20161115,24,9,15
20161116,25,6,19
20161117,25,10,15
20161118,26,5,21
20161121,24,9,15
20161122,24,8,16
20161123,26,12,14
20161124,24,4,20
20161125,26,7,19
20161128,25,8,17
20161129,25,8,17
20161130,24,6,18
20161201,23,10,13
20161202,23,9,14
20161205,27,9,18
20161206,25,10,15
20161207,23,5,18
20161208,23,6,17
20161209,25,8,17
20161212,23,6,17
20161213,25,10,15
20161214,23,9,14
20161215,23,11,12
20161216,23,11,12
20161219,23,5,18
20161220,23,6,17
20161221,22,7,15
20161222,21,4,17
20161223,23,6,17
20161226,22,6,16
20161227,22,6,16
20161228,21,4,17
20161229,22,5,17
20170102,23,6,17
20170103,25,7,18
20170104,19,3,16
20170105,22,4,18
20170106,23,7,16
20170109,21,5,16
20170110,21,6,15
